anion,H,Li,K,Na,NH4,Ba2,Ca2,Mg2,Sr2,Al3,Cr3,Fe2,Fe3,Mn2,Zn2,Ag,Hg2,Pb2,Sn2,Cu2
OH,Р,Р,Р,Р,Р,М,Н,М,Н,Н,Н,Н,Н,Н,–,–,Н,Н,Н,
F,Р,М,Р,Р,Р,М,Н,Н,Н,М,Н,Н,Н,Р,Р,Р,–,Н,Р,Р
Cl,Р,Р,Р,Р,Р,Р,Р,Р,Р,Р,Р,Р,Р,Р,Р,Н,Р,М,Р,Р
Br,Р,Р,Р,Р,Р,Р,Р,Р,Р,Р,Р,Р,Р,Р,Р,Н,М,М,Р,Р
I,Р,Р,Р,Р,Р,Р,Р,Р,Р,Р,?,Р,?,Р,Р,Н,Н,Н,М,?
S2,Р,Р,Р,Р,Р,–,–,–,Н,–,–,Н,–,Н,Н,Н,Н,Н,Н,Н
HS,Р,Р,Р,Р,Р,Р,Р,Р,Р,?,?,?,?,?,?,?,?,?,?,?
SO3,Р,Р,Р,Р,Р,Н,Н,М,Н,?,–,Н,?,?,М,Н,Н,Н,?,?
SO4,Р,Р,Р,Р,Р,Н,М,Р,Н,Р,Р,Р,Р,Р,Р,М,–,Н,Р,Р
HSO4,Р,Р,Р,Р,Р,?,?,?,–,?,?,?,?,?,?,?,?,Н,?,?
NO3,Р,Р,Р,Р,Р,Р,Р,Р,P,Р,Р,Р,Р,Р,Р,Р,Р,Р,–,Р
NO2,Р,Р,Р,Р,Р,P,P,P,P,?,?,?,?,?,?,M,?,?,?,?
PO4,Р,Н,Р,Р,–,Н,Н,Н,H,Н,Н,Н,Н,Н,Н,Н,Н,Н,Н,Н
HPO4,Р,?,Р,Р,Р,H,H,M,H,?,?,H,?,H,?,?,?,M,Н,?
H2PO4,Р,Р,Р,Р,Р,P,P,P,P,?,?,P,?,P,P,P,?,–,?,?
CO3,Р,Р,Р,Р,Р,Н,Н,Н,H,?,?,Н,–,Н,Н,Н,Н,Н,?,Н
HCO3,Р,Р,Р,Р,Р,P,P,P,P,?,?,P,?,?,?,?,?,P,?,?
CH3COO,Р,Р,Р,Р,Р,Р,Р,Р,P,–,Р,Р,–,Р,Р,Р,Р,Р,–,Р
SiO3,Н,Н,Р,Р,?,Н,Н,Н,H,?,?,Н,?,Н,Н,?,?,Н,?,?
MnO4,Р,Р,Р,Р,Р,Р,Р,Р,Р,Р,?,?,?,?,Р,?,?,?,?,?
Cr2O7,Р,Р,Р,Р,Р,М,Р,?,Н,?,?,?,Р,?,?,Н,Н,М,?,Р
CrO4,Р,Р,Р,Р,Р,Н,Р,Р,Н,?,?,?,Н,Н,Н,Н,Н,Н,Н,Н
ClO3,Р,Р,Р,Р,Р,P,P,P,P,Р,Р,?,?,Р,Р,Р,Р,Р,?,Р
ClO4–,Р,Р,Р,Р,Р,Р,Р,Р,P,Р,Р,Р,Р,Р,Р,Р,Р,Р,?,Р
